country,year,precip_mm_yr
Finland,1967,589.4573974609375
Finland,1968,497.65411376953125
Finland,1969,427.8526306152344
Finland,1970,500.17486572265625
Finland,1971,490.8580627441406
Finland,1972,509.5038146972656
Finland,1973,490.7203063964844
Finland,1974,683.6427001953125
Finland,1975,501.5071716308594
Finland,1976,417.57196044921875
Finland,1977,574.3253784179688
Finland,1978,418.2336730957031
Finland,1979,565.6840209960938
Finland,1980,482.4294738769531
Finland,1981,670.5109252929688
Finland,1982,525.8572998046875
Finland,1983,616.0560913085938
Finland,1984,561.6817626953125
Finland,1985,546.0830078125
Finland,1986,550.1534423828125
Finland,1987,544.2896728515625
Finland,1988,582.7664184570312
Finland,1989,570.393310546875
Finland,1990,508.55023193359375
Finland,1991,585.68310546875
Finland,1992,657.0587158203125
Finland,1993,520.7809448242188
Finland,1994,528.8394775390625
Finland,1995,567.722412109375
Finland,1996,537.758056640625
Finland,1997,500.5166015625
Finland,1998,684.2110595703125
Finland,1999,555.7215576171875
Finland,2000,632.929443359375
Finland,2001,561.306884765625
Finland,2002,487.9442138671875
Finland,2003,523.1405029296875
Finland,2004,634.7529296875
Finland,2005,611.3035888671875
Finland,2006,510.34735107421875
Finland,2007,629.0220336914062
Finland,2008,675.8515014648438
Finland,2009,481.00738525390625
Finland,2010,536.4552001953125
Finland,2011,630.616943359375
Finland,2012,693.3671875
Finland,2013,556.8162231445312
Finland,2014,538.258056640625
Finland,2015,667.5621337890625
Finland,2016,614.1220703125
Finland,2017,592.160888671875
Finland,2018,468.95245361328125
Finland,2019,591.2621459960938
Finland,2020,659.4339599609375
Finland,2021,602.8067016601562
Finland,2022,551.464111328125
Finland,2023,651.8489990234375
Finland,2024,600.1971435546875
France,1950,776.3240917782027
France,1951,940.1922203632887
France,1952,874.9608030592734
France,1953,540.2662523900574
France,1954,740.8134560229446
France,1955,738.1253585086042
France,1956,702.8415391969407
France,1957,713.0623804971319
France,1958,919.0683556405354
France,1959,770.2485659655832
France,1960,992.5128465583174
France,1961,740.1749521988528
France,1962,708.7921845124283
France,1963,833.6287045889102
France,1964,657.885456500956
France,1965,960.4355282026769
France,1966,927.8746414913958
France,1967,707.2598589866157
France,1968,860.7582456978968
France,1969,815.2485659655832
France,1970,787.6161567877629
France,1971,728.9185587954111
France,1972,777.9480760038241
France,1973,683.4245936902486
France,1974,857.5345363288719
France,1975,750.998267208413
France,1976,701.3448255258127
France,1977,945.2909297323135
France,1978,809.4336161567877
France,1979,957.9695865200765
France,1980,829.2974426386234
France,1981,957.1863647227533
France,1982,888.130258126195
France,1983,794.5934512428298
France,1984,900.4311065965583
France,1985,668.2133126195029
France,1986,860.7823852772467
France,1987,841.6839149139579
France,1988,894.8154875717017
France,1989,632.6400573613766
France,1990,755.4423996175908
France,1991,676.5273661567877
France,1992,873.1951481835564
France,1993,873.9524378585086
France,1994,969.1962237093691
France,1995,880.4335564053538
France,1996,826.5639340344168
France,1997,773.6061185468451
France,1998,810.9684512428298
France,1999,974.4622370936903
France,2000,961.1814053537285
France,2001,906.2316563097514
France,2002,908.2301625239006
France,2003,703.1398781070745
France,2004,767.7975621414914
France,2005,644.5234823135755
France,2006,788.9077437858508
France,2007,811.940846080306
France,2008,910.0478011472276
France,2009,766.2439053537285
France,2010,809.8615559273422
France,2011,681.7464149139579
France,2012,826.1891132887189
France,2013,921.4524378585086
France,2014,914.2893164435947
France,2015,680.2320745697897
France,2016,818.5043618546845
France,2017,720.4805210325047
France,2018,860.0862810707457
France,2019,836.0547920650096
France,2020,790.9841061185468
France,2021,818.1411328871893
France,2022,624.421785372849
France,2023,864.1168140535373
France,2024,966.7795769598471
Germany,1950,778.8700436827957
Germany,1951,710.1680107526881
Germany,1952,772.6130712365591
Germany,1953,549.6569220430108
Germany,1954,819.1549899193549
Germany,1955,728.8686155913979
Germany,1956,787.0036122311828
Germany,1957,735.7542002688172
Germany,1958,816.7304267473119
