country,year,rr_anomaly_mm
Belgium,1980,52.729299009562965
Belgium,1981,191.5521729849728
Belgium,1982,17.071896345628602
Belgium,1983,-18.73458418715836
Belgium,1984,117.81293118169413
Belgium,1985,-90.10843152322389
Belgium,1986,61.57682718579247
Belgium,1987,82.56049778005479
Belgium,1988,147.77354849726794
Belgium,1989,-107.21658982240422
Belgium,1990,-72.11822916666654
Belgium,1991,-115.8264771174862
Belgium,1992,39.475200648907276
Belgium,1993,41.45714224726794
Belgium,1994,43.7161074112023
Belgium,1995,24.832526468579317
Belgium,1996,-168.9789489412567
Belgium,1997,-77.73791410519107
Belgium,1998,164.69977800546474
Belgium,1999,114.27361253415313
Belgium,2000,142.44574368169413
Belgium,2001,201.53577954234993
Belgium,2002,222.60801314890705
Belgium,2003,-145.2297173838797
Belgium,2004,-9.26083931010919
Belgium,2005,-84.53626195355173
Belgium,2006,1.9915940915301462
Belgium,2007,100.27194757513678
Belgium,2008,51.96700392759578
Belgium,2009,-35.73138234289604
Belgium,2010,-26.41004525273206
Belgium,2011,-107.14941512978123
Belgium,2012,79.48013148907114
Belgium,2013,-61.93463541666654
Belgium,2014,6.26368681693998
Belgium,2015,-45.614963285519025
Belgium,2016,2.3161330259564465
Belgium,2017,-71.5493895150272
Belgium,2018,-178.16901041666654
Belgium,2019,-40.447762978141895
Belgium,2020,-68.75763746584687
Belgium,2021,76.2080387636612
Belgium,2022,-188.2051272199452
Belgium,2023,147.9735356898908
Belgium,2024,170.3375213456286
Bulgaria,1950,-186.59462454359965
Bulgaria,1951,-109.10392705648627
Bulgaria,1952,-17.782728602878024
Bulgaria,1953,-51.16111133483679
Bulgaria,1954,92.00947500536938
Bulgaria,1955,158.60644665485393
Bulgaria,1956,26.161577131658078
Bulgaria,1957,77.54922210588484
Bulgaria,1958,-107.3136967085481
Bulgaria,1959,-25.89153981421822
Bulgaria,1960,63.005890920317825
Bulgaria,1961,-48.284299157001726
Bulgaria,1962,-25.07501275236251
Bulgaria,1963,7.513663149699255
Bulgaria,1964,-27.150318809063606
Bulgaria,1965,-78.63843897658938
Bulgaria,1966,94.25846823990548
Bulgaria,1967,-62.91630624463062
Bulgaria,1968,-79.99310231421822
Bulgaria,1969,53.26052204145185
Bulgaria,1970,15.606366113616787
Bulgaria,1971,73.62597790485393
Bulgaria,1972,68.95595535330756
Bulgaria,1973,-22.774996644115163
Bulgaria,1974,-105.51267383483679
Bulgaria,1975,-100.629659981744
Bulgaria,1976,-28.24100824205334
Bulgaria,1977,-106.8606119791666
Bulgaria,1978,-32.19977112865121
Bulgaria,1979,-64.61109522658938
Bulgaria,1980,0.9744395672250903
Bulgaria,1981,-36.30697151524913
Bulgaria,1982,-25.29356139926972
Bulgaria,1983,-79.64923150236251
Bulgaria,1984,-73.1497550204038
Bulgaria,1985,-168.51730495597081
Bulgaria,1986,-120.93172989153783
Bulgaria,1987,-12.263197352878024
Bulgaria,1988,-68.53687647658938
Bulgaria,1989,-101.89000953071309
Bulgaria,1990,-158.79207138638316
