country,year,mean_temp_c
Finland,1954,2.1339163780212402
Finland,1955,-0.5022612810134888
Finland,1956,-0.45688217878341675
Finland,1957,1.7469369173049927
Finland,1958,0.17124992609024048
Finland,1959,2.3635990619659424
Finland,1960,1.6150128841400146
Finland,1961,2.8285317420959473
Finland,1962,0.6299602389335632
Finland,1963,1.0901899337768555
Finland,1964,1.6622917652130127
Finland,1965,0.6179961562156677
Finland,1966,-0.46579989790916443
Finland,1967,1.6834169626235962
Finland,1968,0.15837755799293518
Finland,1969,0.3767407536506653
Finland,1970,1.0008020401000977
Finland,1971,0.5151876211166382
Finland,1972,2.6308300495147705
Finland,1973,1.2718538045883179
Finland,1974,3.1477973461151123
Finland,1975,2.5718743801116943
Finland,1976,-0.009026532992720604
Finland,1977,0.8822860717773438
Finland,1978,-0.14531391859054565
Finland,1979,1.236209511756897
Finland,1980,0.5484895706176758
Finland,1981,0.5482829213142395
Finland,1982,1.5072767734527588
Finland,1983,1.683066725730896
Finland,1984,2.1574764251708984
Finland,1985,-0.773514449596405
Finland,1986,0.8860192894935608
Finland,1987,-0.4986177682876587
Finland,1988,1.5326637029647827
Finland,1989,3.429204225540161
Finland,1990,2.600154161453247
Finland,1991,2.0560405254364014
Finland,1992,2.347313165664673
Finland,1993,1.4949547052383423
Finland,1994,1.5609134435653687
Finland,1995,2.0469069480895996
Finland,1996,1.4463729858398438
Finland,1997,1.9277269840240479
Finland,1998,0.9219943881034851
Finland,1999,2.0289926528930664
Finland,2000,3.3110709190368652
Finland,2001,1.8002879619598389
Finland,2002,1.9011039733886719
Finland,2003,2.276428699493408
Finland,2004,2.3896055221557617
Finland,2005,3.0904884338378906
Finland,2006,2.739311933517456
Finland,2007,2.9535703659057617
Finland,2008,2.9399189949035645
Finland,2009,2.230330228805542
Finland,2010,0.9800100922584534
Finland,2011,3.450223445892334
Finland,2012,1.6316921710968018
Finland,2013,3.2568342685699463
Finland,2014,3.44953989982605
Finland,2015,3.7594943046569824
Finland,2016,3.0412607192993164
