country,year,tg_anomaly_c
Lithuania,1997,-0.649591779708862
Lithuania,1998,-0.73489556312561
Lithuania,1999,0.3490463733673099
Lithuania,2000,0.7433282375335697
Lithuania,2001,-0.19877419471740687
Lithuania,2002,0.41846194267272985
Lithuania,2003,-0.4748691082000729
Lithuania,2004,-0.5786822795867916
Lithuania,2005,-0.42412886619567747
Lithuania,2006,0.16348757743835485
Lithuania,2007,0.5385519504547123
Lithuania,2008,0.8330470561981205
Lithuania,2009,-0.25654110908508265
Lithuania,2010,-1.0556262493133541
Lithuania,2011,0.31929459571838414
Lithuania,2012,-0.6131628513336178
Lithuania,2013,-0.019920206069945934
Lithuania,2014,0.49809994697570836
Lithuania,2015,0.9188176631927494
Lithuania,2016,0.18401350975036657
Lithuania,2017,0.08414568901062047
Lithuania,2018,0.8414708614349369
Lithuania,2019,1.3750268459320072
Lithuania,2020,1.6977712154388431
Lithuania,2021,-0.11513171195983851
Lithuania,2022,0.4816857814788822
Lithuania,2023,1.2796422481536869
Lithuania,2024,2.1075803279876713
Luxembourg,1950,-0.9000109036763515
Luxembourg,1951,-0.901099046071371
Luxembourg,1952,-1.4835165341695156
Luxembourg,1953,-0.7734077771504726
Luxembourg,1954,-1.7136543591817226
Luxembourg,1955,-1.7495034535725917
Luxembourg,1956,-2.44868024190267
Luxembourg,1957,-0.9169491132100429
Luxembourg,1958,-1.213359673817953
Luxembourg,1959,0.0015575091044084388
Luxembourg,1960,-1.0095270474751796
Luxembourg,1961,-0.43716796239217004
Luxembourg,1962,-2.3204487164815273
Luxembourg,1963,-2.4641817410786953
Luxembourg,1964,-1.14070208867391
Luxembourg,1965,-1.8636754353841152
Luxembourg,1966,-0.819058259328207
Luxembourg,1967,-0.8763254483540859
Luxembourg,1968,-1.5541170438130703
Luxembourg,1969,-1.3607576688130703
Luxembourg,1970,-1.42286761601766
Luxembourg,1971,-1.124797662099203
Luxembourg,1972,-1.6641386349995937
Luxembourg,1973,-1.227078278859457
Luxembourg,1974,-0.8897779782613124
Luxembourg,1975,-0.7444494565327968
Luxembourg,1976,-0.5390489896138515
Luxembourg,1977,-1.0290516217549648
Luxembourg,1978,-1.947318871816
Luxembourg,1979,-1.873572190602621
Luxembourg,1980,-1.9121092160542812
Luxembourg,1981,-1.2790315945943203
Luxembourg,1982,-0.6419895490010585
Luxembourg,1983,-0.618475755055746
Luxembourg,1984,-1.4017122586568203
Luxembourg,1985,-2.1769903500874843
Luxembourg,1986,-1.6308115323384609
Luxembourg,1987,-1.8711951573689785
Luxembourg,1988,-0.47710212071736713
Luxembourg,1989,-0.0486276944478341
Luxembourg,1990,-0.08012755711873432
Luxembourg,1991,-0.9424827893575038
Luxembourg,1992,-0.25424750645955463
Luxembourg,1993,-0.8226202328999843
Luxembourg,1994,0.385229269663494
Luxembourg,1995,-0.07706530888875562
Luxembourg,1996,-1.830476601918539
Luxembourg,1997,-0.23031218846639057
Luxembourg,1998,-0.5704696973164864
Luxembourg,1999,0.04232517878214459
Luxembourg,2000,0.4319621721903495
Luxembourg,2001,0.16120163599650184
Luxembourg,2002,0.915380636850994
Luxembourg,2003,0.8635503451029454
Luxembourg,2004,0.08718029657999793
Luxembourg,2005,0.10370842615763287
Luxembourg,2006,0.44065300623575787
Luxembourg,2007,0.8063317934672032
Luxembourg,2008,0.1439763704935686
Luxembourg,2009,0.23775593439737897
Luxembourg,2010,-0.9648598035176601
Luxembourg,2011,0.9039413134256993
Luxembourg,2012,-0.4600666364034023
Luxembourg,2013,-0.9918125470479335
Luxembourg,2014,0.607537428538004
Luxembourg,2015,0.2476941744486485
Luxembourg,2016,-0.40212233861287494
Luxembourg,2017,-0.18996222813924213
Luxembourg,2018,0.515989462534586
Luxembourg,2019,0.10743443171183387
Luxembourg,2020,0.7346460024515764
Luxembourg,2021,-0.7045248349507656
Luxembourg,2022,0.5417300860087071
Luxembourg,2023,0.4943181673685686
Luxembourg,2024,0.827386061350504
Netherlands,1950,-0.8343853632609051
Netherlands,1951,-0.7921480814615887
Netherlands,1952,-1.440149752298991
Netherlands,1953,-0.5921215693155926
Netherlands,1954,-1.3705496470133465
Netherlands,1955,-1.530923334757487
Netherlands,1956,-2.225129572550456
Netherlands,1957,-0.5262255350748681
Netherlands,1958,-1.0021395365397119
Netherlands,1959,-0.2009691874186199
Netherlands,1960,-0.7461723963419598
Netherlands,1961,-0.5120320002237957
Netherlands,1962,-2.28223082224528
Netherlands,1963,-2.5742025057474773
Netherlands,1964,-1.296911684672036
Netherlands,1965,-1.702147928873698
Netherlands,1966,-0.974914042154948
Netherlands,1967,-0.49932905832926444
Netherlands,1968,-1.2739147822062158
Netherlands,1969,-1.2096790949503582
Netherlands,1970,-1.3083252588907879
Netherlands,1971,-0.8200926462809246
Netherlands,1972,-1.4653820673624676
Netherlands,1973,-0.9540447870890301
Netherlands,1974,-0.6717390696207683
Netherlands,1975,-0.5750269571940105
Netherlands,1976,-0.6022600809733092
Netherlands,1977,-0.7509579340616863
Netherlands,1978,-1.4559244791666668
Netherlands,1979,-1.9651417414347332
Netherlands,1980,-1.327061144510905
Netherlands,1981,-1.1176066080729168
Netherlands,1982,-0.3984932581583642
Netherlands,1983,-0.3408112208048504
Netherlands,1984,-1.08378168741862
