country,variable,ols_slope_decade,ols_ci_lower,ols_ci_upper,ols_r_squared,ols_p_value,mk_z,mk_p_value,mk_trend,sens_decade,significant
Lithuania,temperature,0.3126611115413574,0.22271210590972446,0.40261011717299033,0.39665404738406207,1.4185598016867206e-09,5.7819054548438675,7.385921652058869e-09,increasing,0.3075502629865678,True
Lithuania,precipitation,-1.9200079853165555,-12.452075915959872,8.612059945326761,0.0018050308467076753,0.7174116586142518,-0.43913205986155956,0.660565850091003,no trend,-2.6024885157867623,False
Luxembourg,temperature,0.28189494199467924,0.21093012406566003,0.35285975992369845,0.4619537372936565,2.017905442429333e-11,6.111254499740037,9.885097185247105e-10,increasing,0.28545004980904654,True
Luxembourg,precipitation,3.3989753733997174,-12.145626858196373,18.943577604995806,0.002594770398616422,0.6642766431669916,-0.027445753741347473,0.9781042057699769,no trend,-0.2500116257440476,False
Netherlands,temperature,0.2899870721917403,0.22103176446155437,0.3589423799219261,0.4903950023559945,2.702216654844516e-12,6.568683728762495,5.076206122112126e-11,increasing,0.30004116526821234,True
Netherlands,precipitation,17.48706448329832,6.931994501531598,28.042134465065036,0.12994219034709403,0.0014885545013363203,2.8909527274219338,0.003840758884884554,increasing,16.649814933747976,True
Norway,temperature,0.21918952928201565,0.1415453106864744,0.2968337478775569,0.30246632247687844,3.207031563562297e-07,4.702372474350867,2.5715583287233557e-06,increasing,0.23081616276786443,True
Norway,precipitation,24.50863995893176,13.332774259051243,35.68450565881228,0.207404495233273,4.035295878740878e-05,3.8607026929495443,0.00011306140607114656,increasing,25.884782060834493,True
Poland,temperature,0.28689714855015025,0.2036320533468218,0.3701622437534787,0.3924580563781145,1.8360075255683496e-09,5.635528101556681,1.745226807514655e-08,increasing,0.286564093369704,True
Poland,precipitation,4.952078997857508,-3.249774255626761,13.153932251341779,0.019449638236073614,0.23273923679160785,1.3356933487455769,0.1816495242607199,no trend,5.445422188937305,False
Portugal,temperature,0.2137473674790449,0.1611969479288538,0.266297787029236,0.4737399794993595,8.884210442852431e-12,6.3125233605099185,2.7452196071919843e-10,increasing,0.22139731873857216,True
Portugal,precipitation,-20.916769494171433,-39.7352888564705,-2.09825013187237,0.0629874753063644,0.029865124786031032,-1.8297169160898314,0.06729228005685872,no trend,-18.80931603773588,False
Romania,temperature,0.1717241380835326,0.07952311900783658,0.2639251571592286,0.15877862357557368,0.00039900996483805085,3.5222050634729256,0.0004279729572940205,increasing,0.20185495034242287,True
Romania,precipitation,3.7838945742506396,-5.116547468570727,12.684336617072008,0.009738571347491464,0.3996006451835553,0.6495495052118901,0.5159832589402842,no trend,3.4379770395395455,False
Serbia,temperature,0.2809284090826216,0.19942195722898962,0.36243486093625366,0.39261225618027096,1.8187399627782103e-09,5.507447917430393,3.640730739107312e-08,increasing,0.29341942224747053,True
Serbia,precipitation,5.721101279518937,-5.257403687787264,16.699606246825137,0.014561062628531527,0.3024244960743707,1.216761749199738,0.2236948773795362,no trend,6.655263328157352,False
Slovakia,temperature,0.3130971502952521,0.23694208076748308,0.3892522198230211,0.47908808369434447,6.086837088608621e-12,6.303374775929469,2.9123348177506614e-10,increasing,0.3167778650919596,True
Slovakia,precipitation,3.3101144743533824,-6.775825571273975,13.39605451998074,0.00582647570908536,0.5151132308669841,0.9148584580449157,0.3602659409847555,no trend,4.790919952210213,False
Slovenia,temperature,0.27605048216254063,0.1991514806866336,0.3529494836384477,0.41217082117271975,5.382837466742558e-10,5.64467668613713,1.6549194903348052e-08,increasing,0.30340254306793213,True
Slovenia,precipitation,17.271432068403747,-1.3577510344452715,35.90061517125277,0.04467953464415221,0.0686909746768908,1.4454763637109669,0.1483241274473761,no trend,12.854729729729684,False
Spain,temperature,0.2401442830287886,0.18216574293937388,0.29812282311820326,0.48279522354111853,4.672941666309648e-12,6.266780437607673,3.6858938123884855e-10,increasing,0.24662268789190994,True
Spain,precipitation,-4.253737764126248,-14.640630533647181,6.133155005394684,0.009043059695992357,0.4170463791622126,-0.5580636594073985,0.576800914824265,no trend,-3.0750884142574813,False
Sweden,temperature,0.2859636260617848,0.19601161096054479,0.3759156411630249,0.3548005425265335,1.7284538544726555e-08,5.461704994528147,4.715832746526871e-08,increasing,0.3054474630663472,True
Sweden,precipitation,14.655688151944258,7.9685100699438465,21.34286623394467,0.2071966065487901,4.075937433504387e-05,4.0436743845585275,5.261998556282954e-05,increasing,14.194481420641248,True
Switzerland,temperature,0.2674196547837888,0.20648848357368163,0.32835082599389603,0.5117399206310145,5.554847788856241e-13,6.596129482503843,4.2203129879681e-11,increasing,0.27960879462105886,True
Switzerland,precipitation,-6.81922376712164,-24.68093656855259,11.042489034309305,0.007868346373629369,0.44917713467434695,-0.5123207365051528,0.6084265547437138,no trend,-5.991924157303207,False
Ukraine,temperature,0.3530364850506843,0.2639513105275745,0.4421216595737942,0.46077494661457136,2.188350654039574e-11,6.440603544636207,1.189992548944474e-10,increasing,0.3434558348222212,True
Ukraine,precipitation,7.983242478488708,0.6014395488363988,15.365045408141018,0.059831504851511196,0.03442970082101561,1.7839739931875855,0.07442789118664117,no trend,8.533591882645176,False
United Kingdom,temperature,0.19161912896385574,0.1406089005866951,0.24262935734101637,0.4343282977930857,1.2919249509768778e-10,5.9740257310333,2.3146926597661377e-09,increasing,0.20400888779584098,True
United Kingdom,precipitation,23.194692859382243,13.281055364698886,33.1083303540656,0.22949658850721333,1.3740355493997016e-05,3.9796342924953834,6.902136224096189e-05,increasing,24.49142380084997,True
